TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_DEBT_MDN,RET_FT4,C100_4,PCTPELL,UGDS,MD_EARN_WNE_P10,REGION_Mid East,REGION_Great Lakes,REGION_Plains,REGION_Southeast,REGION_Southwest,REGION_Rocky Mountains,REGION_Far West,REGION_Outlying Areas,LOCALE_City: Midsize,LOCALE_City: Small,LOCALE_Suburb: Large,LOCALE_Suburb: Midsize,LOCALE_Suburb: Small,LOCALE_Town: Fringe,LOCALE_Town: Distant,LOCALE_Town: Remote,LOCALE_Rural: Fringe,LOCALE_Rural: Distant,LOCALE_Rural: Remote,CONTROL_Private Non-Profit,CONTROL_Private For-Profit
-1.0658173021703918,-0.8502938409572303,1.865709877000817,-0.7843522928115669,-1.4303522870887218,0.6441,0.6699198087972731,40628.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.2404243792235292,-0.5313926097742304,-0.16474969901264924,0.5603467076941792,-0.0009860863527237443,0.3318,1.2910948798338997,54501.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.844354487536452,-0.2911538774331657,-0.5370006212817847,0.45754441183799277,-0.1152749653830413,0.225,0.7938721211192835,61767.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.9069209294429029,-0.75190983602477,1.865709877000817,-1.0553396765420828,-1.5018457708874224,0.7203,0.21884158680935942,34502.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.829204419406785,0.30192847278392004,-0.05972592783953893,0.8494175158557411,0.6515178221199266,0.1799,2.104073702343812,59221.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.1491900033598734,-0.7000062505092086,0.4653929280260127,-0.633912252454217,-1.4947971175551562,0.4275,0.044947559854479784,44391.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.7573933567760127,0.3461420778922567,-0.46815170462385686,1.3305112961215133,0.6706498811646494,0.1226,1.9151016917134736,65337.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0645905297299259,-0.4521451129562932,0.4653929280260127,-0.8440797167049661,0.6192954068867089,0.2256,-1.0554754777695152,59481.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-0.2403087054694283,-0.893146423071219,0.7274855836424635,-3.9013843565376893,-2.1795234412610234,0.6952,-1.765791171181885,34421.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.13376124545049492,-0.3520977112813984,-0.001379388298922081,-0.28305094287342597,-1.1484061537980703,0.4381,-0.4099300678555435,43457.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.38263806833792285,0.007873690020524434,0.9321652443509475,-0.566669051441021,-0.19281015203797025,0.3879,-0.8955358100592561,49601.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-0.7695491454597314,-0.45512883601786136,-0.19065556256868313,-0.741301015570331,-0.5719270062662926,0.4309,0.8399158208552017,45235.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.9389250741823377,-0.7002048427129942,0.4523233031689145,-1.0313388364670693,-1.1519304804642037,0.5401,0.03660025786820547,44232.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.7379472245471889,-1.6129227082870659,1.9163546733220724,-1.4472297720996075,-1.3679213575743632,0.7552,-0.6590512921426287,32627.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.2551196535456479,-0.17656687753420489,0.8154721652697138,-0.18539507179749176,-0.07247957015142455,0.2986,-0.7125340151268629,43611.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-0.6339227574845234,-0.13051227290837594,0.2320067698635453,-0.07659769780244606,-0.45612770152191784,0.3904,-0.16622073235072105,42957.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.8188125452888678,-0.501866527351852,-0.21679481228287947,0.2610087760896542,-0.5074821757998578,0.2411,0.6317202625666161,45415.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.008159268665349554,-0.5337663739760004,0.9321652443509475,-0.7835682533920083,-0.6001216195953576,0.4735,-0.5887457717497337,42488.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.7774143711705098,0.5788717334812327,-0.818230941867558,0.956677601151725,1.4359322429535595,0.1084,0.33629717990040486,58469.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
-1.114549491171525,-0.8483676966863518,0.4488225107964775,0.15140017126348884,-0.5059717500858009,0.3713,1.0011376510624292,49379.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.8893758482935089,-1.8319466143895655,1.4145744332727677,0.34027149497916426,-0.5875347386448821,0.682,-1.0015576302885942,35421.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-0.45138568451217603,-1.1984447431279748,1.2822444815946485,0.5228660064774412,0.770841453530434,0.7551,-0.9790286230341771,32229.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-1.098113382800775,-0.7510947367733103,0.4653929280260127,-0.0884758482841063,-0.7617371709994629,0.423,1.1392534738302007,42062.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.10580184248677023,-0.39253773839059014,0.9321652443509475,-0.08921859742348891,-0.611198074831776,0.4767,-0.06193859553156686,49641.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-1.4538057886035949,-0.547056722679513,-0.6525267695722061,-0.18764032230281932,-1.413234128996075,0.191,0.8263693215195638,51871.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.270737328688504,-0.4519697387229175,-0.6336224907610463,-0.15474923945278662,-1.1388401242757091,0.2237,0.37828407030406225,48866.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
