TUITIONFEE_IN,TUITIONFEE_OUT,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,ST_FIPS,REGION,LOCALE,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,OTHEREXPENSE_FAM,CONTROL,PREDDEG,ADM_RATE,UGDS,LOCALE2,PCTPELL,PCTFLOAN,ENDOWBEGIN,ENDOWEND,STUFACR,SAT_AVG,C150_4,COMP_ORIG_YR4_RT,COMP_ORIG_YR6_RT,RPY_1YR_RT,COMPL_RPY_1YR_RT,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,MD_EARN_WNE_P10,PCT10_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,C100_4,INSTNM,CITY,RET_FT4,C200_4
18238.0,18238.0,,25157.0,,,,,,24907.0,26532.0,,,,1.0,5.0,12.0,1500.0,,,8925.0,7914.0,5541.0,3.0,3.0,,302.0,,0.6952,0.7016,,,13.0,,0.1538,0.222162162,0.178076996,0.192723315,0.386992275,26123.0,12643.0,15278.0,14700.0,34421.0,7100.0,17463.0,53014.0,67200.0,34115.0,7600.0,17590.0,54613.0,74600.0,0.0,South University-Montgomery,Montgomery,0.2857,0.1364
23920.0,23920.0,,21165.0,,,,,,21012.0,16987.0,27967.0,31335.0,31706.0,1.0,5.0,12.0,1800.0,8020.0,4600.0,8020.0,4600.0,4600.0,2.0,3.0,0.6613,1555.0,,0.4381,0.5787,20765130.0,20078568.0,13.0,1016.0,0.3766,0.354166667,0.326674501,0.243712849,0.350850077,23000.0,15750.0,14000.0,14600.0,43457.0,9800.0,25494.0,64288.0,80700.0,37313.0,8200.0,21514.0,55122.0,63600.0,0.2048,Faulkner University,Montgomery,0.7039,0.1661
28650.0,28650.0,,21401.0,,,,,,18007.0,18221.0,23949.0,22851.0,24993.0,1.0,5.0,12.0,300.0,10922.0,2068.0,8922.0,2068.0,2068.0,2.0,3.0,0.7083,865.0,,0.3879,0.7081,57163022.0,53910160.0,14.0,1148.0,0.4694,0.515060241,0.572192513,0.458823529,0.566787004,27000.0,25000.0,19625.0,15250.0,49601.0,9100.0,34151.0,71130.0,73200.0,42147.0,12200.0,28944.0,58518.0,54500.0,0.3946,Huntingdon College,Montgomery,0.6667,0.4462
11982.0,11982.0,,,,,,,,,,,,,1.0,5.0,13.0,1600.0,7561.0,3069.0,14967.0,4770.0,4023.0,2.0,3.0,1.0,63.0,,0.3537,0.0244,14385884.0,15040187.0,8.0,,0.5,,,0.44,PS,,,,,42597.0,,,56597.0,,,,,,,0.5,Heritage Christian University,Florence,0.6667,0.25
12426.0,22716.0,14850.0,,13268.0,13842.0,16202.0,18157.0,18079.0,,,,,,1.0,5.0,23.0,998.0,8894.0,2506.0,10728.0,3530.0,3530.0,1.0,3.0,0.7622,7030.0,,0.4309,0.6941,14258774.0,15423462.0,19.0,1055.0,0.5112,0.45508982,0.466340269,0.361822594,0.529972752,22189.0,14000.0,14250.0,14000.0,45235.0,9000.0,28035.0,64633.0,64200.0,40158.0,7000.0,24984.0,56108.0,53800.0,0.3193,Jacksonville State University,Jacksonville,0.6442,0.5152
10990.0,20090.0,13832.0,,13773.0,12806.0,14480.0,16763.0,16755.0,,,,,,1.0,5.0,43.0,1206.0,8166.0,3600.0,7200.0,3600.0,3600.0,1.0,3.0,0.8711,2666.0,,0.5401,0.6373,428997.0,429016.0,17.0,1015.0,0.3804,0.145025295,0.226984127,0.315612382,0.461971831,24944.0,12500.0,13250.0,13000.0,44232.0,8500.0,27937.0,62576.0,63700.0,37106.0,8200.0,20253.0,54320.0,58500.0,0.2041,University of West Alabama,Livingston,0.6075,0.3875
12714.0,12714.0,,14514.0,,,,,,13517.0,14076.0,15789.0,19804.0,20491.0,1.0,5.0,21.0,250.0,7348.0,2832.0,10845.0,2992.0,2992.0,2.0,3.0,,1151.0,,0.7552,0.775,25642204.0,27539903.0,12.0,,0.2566,0.059945504,0.127686473,0.103148024,0.203389831,31217.0,16500.0,14250.0,15000.0,32627.0,6400.0,17195.0,47772.0,51200.0,25822.0,3700.0,13276.0,39521.0,41300.0,0.1612,Miles College,Fairfield,0.5563,0.2435
26120.0,26120.0,,19603.0,,,,,,15222.0,18260.0,18493.0,23561.0,23547.0,1.0,5.0,41.0,1800.0,10676.0,4750.0,9000.0,4800.0,4800.0,2.0,3.0,0.7251,1079.0,,0.2986,0.4287,22082866.0,23843738.0,13.0,1220.0,0.5551,0.418552036,0.45915493,0.373913044,0.49742268,26500.0,22223.0,18750.0,14300.0,43611.0,9600.0,28429.0,59995.0,73400.0,37411.0,6800.0,21776.0,52086.0,60600.0,0.4185,University of Mobile,Mobile,0.7169,0.5142
13710.0,26730.0,17053.0,,13806.0,14642.0,18414.0,20102.0,20529.0,,,,,,1.0,5.0,31.0,1020.0,10768.0,3640.0,10342.0,3640.0,3640.0,1.0,3.0,0.539,2087.0,,0.3904,0.5207,35286697.0,38003803.0,13.0,,0.4938,0.39122807,0.542763158,0.459259259,0.551587302,24000.0,15745.0,19500.0,14625.0,42957.0,9900.0,25530.0,56437.0,62300.0,35406.0,8000.0,21903.0,46399.0,45100.0,0.3423,University of Montevallo,Montevallo,0.7315,0.5289
11990.0,22190.0,11024.0,,8309.0,7613.0,11901.0,14907.0,14273.0,,,,,,1.0,5.0,13.0,1500.0,7900.0,3400.0,7900.0,3700.0,3700.0,1.0,3.0,0.9648,5468.0,,0.2411,0.2957,46153732.0,53477478.0,18.0,,0.5403,0.418245614,0.451740506,0.460884354,0.633437176,22077.0,16250.0,15000.0,16799.0,45415.0,9800.0,28413.0,64932.0,68400.0,38295.0,6900.0,23383.0,54058.0,54700.0,0.3321,University of North Alabama,Florence,0.7776,0.5268
21838.0,21838.0,,23384.0,,,,,,21428.0,22305.0,22185.0,25190.0,28244.0,1.0,5.0,12.0,1200.0,9384.0,8000.0,12840.0,8470.0,8000.0,2.0,3.0,0.5051,1253.0,,0.4735,0.5754,19810091.0,13631785.0,10.0,,0.4891,0.232911392,0.391402715,0.237341772,0.35443038,27000.0,20500.0,20750.0,21500.0,42488.0,7900.0,23113.0,67182.0,75600.0,30969.0,4900.0,13283.0,51747.0,52100.0,0.3137,Oakwood University,Huntsville,0.6388,0.5164
38144.0,38144.0,,30795.0,,,,,,21891.0,24253.0,27995.0,32769.0,33894.0,1.0,5.0,21.0,1200.0,12160.0,5952.0,20139.0,6687.0,6540.0,2.0,3.0,0.8223,3828.0,,0.1084,0.287,426345689.0,443471031.0,14.0,1203.0,0.7988,0.711409396,0.692139738,0.713032582,0.79,19500.0,18538.0,17494.0,15000.0,58469.0,12600.0,38802.0,91693.0,124000.0,49466.0,9700.0,33129.0,68283.0,73500.0,0.7181,Samford University,Birmingham,0.8765,0.7915
4800.0,4800.0,,,,,,,,,,,,,1.0,5.0,32.0,800.0,3600.0,2400.0,6000.0,2400.0,2500.0,2.0,3.0,,34.0,,0.0,0.0,142412.0,157622.0,3.0,,0.24,,0.049056604,0.072864322,PS,,,,,,,,,,,,,,,0.0444,Selma University,Selma,,0.0216
