TUITIONFEE_IN,TUITIONFEE_OUT,ST_FIPS,REGION,LOCALE,CONTROL,PREDDEG,UGDS,PCTPELL,PCTFLOAN,STUFACR,C150_4,COMP_ORIG_YR4_RT,COMP_ORIG_YR6_RT,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,MD_EARN_WNE_P10,PCT10_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,C100_4,INSTNM,CITY,RET_FT4,C200_4
21838.0,21838.0,1.0,5.0,12.0,2.0,3.0,1253.0,0.4735,0.5754,10.0,0.4891,0.232911392,0.391402715,27000.0,20500.0,20750.0,21500.0,42488.0,7900.0,23113.0,67182.0,75600.0,30969.0,4900.0,13283.0,51747.0,52100.0,0.3137,Oakwood University,Huntsville,0.6388,0.5164
38144.0,38144.0,1.0,5.0,21.0,2.0,3.0,3828.0,0.1084,0.287,14.0,0.7988,0.711409396,0.692139738,19500.0,18538.0,17494.0,15000.0,58469.0,12600.0,38802.0,91693.0,124000.0,49466.0,9700.0,33129.0,68283.0,73500.0,0.7181,Samford University,Birmingham,0.8765,0.7915
9676.0,18652.0,1.0,5.0,12.0,1.0,3.0,8540.0,0.3713,0.4872,18.0,0.5257,0.422551253,0.456873823,24929.0,18750.0,17508.0,16500.0,49379.0,10500.0,30000.0,73471.0,78800.0,41307.0,6800.0,26452.0,60705.0,64100.0,0.3324,University of South Alabama,Mobile,0.7625,0.4957
11392.0,11392.0,1.0,5.0,12.0,2.0,3.0,761.0,0.682,0.6912,12.0,0.4103,0.146496815,0.236666667,29067.0,16375.0,14250.0,20344.0,35421.0,5100.0,18957.0,53304.0,51500.0,29790.0,5000.0,16023.0,42693.0,43400.0,0.3162,Stillman College,Tuscaloosa,0.7886,0.1623
15650.0,15650.0,1.0,5.0,32.0,2.0,3.0,782.0,0.7551,0.7778,19.0,0.6497,0.163398693,0.301694915,28500.0,14750.0,16750.0,12500.0,32229.0,4300.0,17337.0,48588.0,53300.0,22613.0,1300.0,11007.0,36735.0,35600.0,0.586,Talladega College,Talladega,0.8142,0.2627
9792.0,19584.0,1.0,5.0,33.0,1.0,3.0,10089.0,0.423,0.6617,15.0,0.4684,0.28379224,0.269603768,25000.0,17000.0,15000.0,15000.0,42062.0,9700.0,24464.0,61119.0,70800.0,39392.0,8300.0,23920.0,56609.0,60300.0,0.2816,Troy University,Troy,0.7299,0.5248
23440.0,23440.0,1.0,5.0,32.0,2.0,3.0,2367.0,0.4767,0.6167,12.0,0.5709,0.454833597,0.487218045,27000.0,22937.0,21500.0,19500.0,49641.0,9200.0,26919.0,78316.0,81200.0,38332.0,6000.0,20813.0,63359.0,65900.0,0.3115,Tuskegee University,Tuskegee,0.7298,0.5754
7566.0,21693.0,2.0,8.0,11.0,1.0,3.0,6916.0,0.191,0.1488,12.0,0.2894,0.174219094,0.230218538,20210.0,12500.0,11222.0,10250.0,51871.0,7600.0,28505.0,80117.0,84200.0,42313.0,6600.0,23854.0,62335.0,77600.0,0.1522,University of Alaska Anchorage,Anchorage,0.7166,0.3579
8640.0,22752.0,2.0,8.0,13.0,1.0,3.0,4027.0,0.2237,0.1765,12.0,0.3197,0.232333011,0.267857143,20291.0,12136.0,11191.0,11000.0,48866.0,6600.0,25153.0,74202.0,81500.0,40746.0,5300.0,22551.0,63454.0,67300.0,0.2067,University of Alaska Fairbanks,Fairbanks,0.721,0.4643
20760.0,20760.0,2.0,8.0,11.0,2.0,3.0,400.0,0.3442,0.4186,8.0,0.4688,0.43373494,0.53030303,23500.0,11250.0,11000.0,16000.0,54271.0,10800.0,29511.0,79869.0,85000.0,47803.0,8200.0,26774.0,63277.0,68900.0,0.1875,Alaska Pacific University,Anchorage,0.6818,0.25
12051.0,32193.0,4.0,6.0,12.0,1.0,3.0,64398.0,0.2966,0.284,18.0,0.6785,0.492382069,0.593368454,19500.0,13750.0,13750.0,13245.0,62668.0,12900.0,40826.0,92934.0,93300.0,52843.0,10400.0,34185.0,76723.0,70000.0,0.5479,Arizona State University Campus Immersion,Tempe,0.8532,0.6755
13626.0,41095.0,4.0,6.0,11.0,1.0,3.0,40769.0,0.2624,0.2695,19.0,0.6589,0.49911675,0.576708279,19620.0,13000.0,13770.0,14000.0,59979.0,12100.0,38990.0,92199.0,99400.0,47665.0,9200.0,30542.0,71211.0,69600.0,0.5091,University of Arizona,Tucson,0.8767,0.6601
42204.0,42204.0,4.0,6.0,13.0,2.0,3.0,3245.0,0.174,0.3439,17.0,0.6976,0.372737887,0.46662367,23666.0,15000.0,13000.0,14750.0,84131.0,22400.0,55392.0,112155.0,115500.0,65391.0,13300.0,45209.0,88729.0,87800.0,0.4749,Embry-Riddle Aeronautical University-Prescott,Prescott,0.8382,0.7059
17450.0,17450.0,4.0,6.0,11.0,3.0,3.0,68619.0,0.4308,0.535,21.0,0.4304,0.388376103,0.422683904,22114.0,10764.0,13842.0,15000.0,42186.0,11100.0,21881.0,68589.0,96100.0,47280.0,10000.0,26237.0,81082.0,90500.0,0.3679,Grand Canyon University,Phoenix,0.6838,0.4635
12652.0,28900.0,4.0,6.0,13.0,1.0,3.0,23041.0,0.2983,0.331,19.0,0.5686,0.532272457,0.567625308,19000.0,12500.0,12500.0,13533.0,54384.0,10300.0,35991.0,78281.0,77800.0,47308.0,9500.0,31158.0,67057.0,61900.0,0.4538,Northern Arizona University,Flagstaff,0.7256,0.5993
35685.0,35685.0,4.0,6.0,13.0,2.0,3.0,253.0,0.4728,0.5367,9.0,0.3594,0.330357143,0.255474453,16300.0,12500.0,12793.0,10500.0,42359.0,7100.0,19444.0,61057.0,63500.0,33539.0,5100.0,16545.0,49452.0,48300.0,0.2969,Prescott College,Prescott,0.75,0.4
8455.0,19210.0,5.0,5.0,12.0,1.0,3.0,4740.0,0.4105,0.3765,11.0,0.4142,0.289168766,0.314468504,22000.0,15500.0,14250.0,12000.0,45265.0,9400.0,28588.0,67515.0,70000.0,40040.0,5800.0,24652.0,58220.0,57700.0,0.2539,University of Arkansas at Little Rock,Little Rock,0.7146,0.3952
31000.0,31000.0,5.0,5.0,33.0,2.0,3.0,563.0,0.3596,0.6121,10.0,0.5591,0.082474227,0.439306358,21500.0,9500.0,11000.0,11185.0,44232.0,12600.0,29991.0,61811.0,71300.0,37629.0,9200.0,26648.0,55976.0,50100.0,0.4409,Lyon College,Batesville,0.6806,0.4554
9748.0,28772.0,5.0,5.0,13.0,1.0,3.0,27312.0,0.173,0.3405,20.0,0.6997,0.547314578,0.566499722,21500.0,15000.0,15250.0,16750.0,58191.0,13000.0,36435.0,87469.0,87200.0,49686.0,10300.0,31667.0,71439.0,65500.0,0.5543,University of Arkansas,Fayetteville,0.8646,0.7136
9019.0,17029.0,5.0,5.0,32.0,1.0,3.0,1899.0,0.6687,0.5852,13.0,0.3968,0.34529703,0.345367028,24202.0,14250.0,14250.0,15000.0,35550.0,6700.0,19942.0,50676.0,58000.0,31161.0,4100.0,16575.0,44874.0,44400.0,0.2425,University of Arkansas at Pine Bluff,Pine Bluff,0.6454,0.4164
7754.0,13826.0,5.0,5.0,13.0,1.0,3.0,7994.0,0.3679,0.4234,15.0,0.551,0.396875,0.420649398,20500.0,16000.0,14421.0,14750.0,42617.0,7600.0,26452.0,61266.0,67100.0,38944.0,6100.0,24391.0,55036.0,53400.0,0.4065,Arkansas State University,Jonesboro,0.7782,0.541
10118.0,17258.0,5.0,5.0,13.0,1.0,3.0,7426.0,0.3734,0.4169,14.0,0.5335,0.391435986,0.397518014,20346.0,12981.0,13500.0,12713.0,45938.0,9900.0,28642.0,65378.0,73600.0,36670.0,8000.0,22599.0,51454.0,56300.0,0.4032,University of Central Arkansas,Conway,0.7343,0.5025
19680.0,19680.0,5.0,5.0,13.0,2.0,3.0,477.0,0.422,0.4947,12.0,0.3529,0.20361991,0.134920635,22250.0,13382.0,12000.0,14000.0,46789.0,10300.0,29462.0,65716.0,67100.0,37681.0,6200.0,23561.0,53072.0,60700.0,0.3194,Central Baptist College,Conway,0.5922,0.4225
24888.0,24888.0,5.0,5.0,32.0,2.0,3.0,3323.0,0.1922,0.3951,16.0,0.7094,0.586021505,0.626530612,26500.0,22214.0,23125.0,21480.0,52876.0,9000.0,34804.0,76562.0,77800.0,43555.0,8600.0,28627.0,59686.0,60000.0,0.5525,Harding University,Searcy,0.8663,0.6808
7885.0,9882.0,5.0,5.0,32.0,1.0,3.0,1491.0,0.477,0.4466,17.0,0.3805,0.336864407,0.367408907,19500.0,12000.0,11878.0,12000.0,43459.0,10100.0,27855.0,60051.0,67300.0,35194.0,7600.0,20589.0,49691.0,50400.0,0.29,Henderson State University,Arkadelphia,0.5935,0.3839
36650.0,36650.0,5.0,5.0,13.0,2.0,3.0,1094.0,0.2341,0.4479,11.0,0.6923,0.619402985,0.657243816,26688.0,19488.0,20750.0,19500.0,60376.0,11900.0,37323.0,84322.0,75800.0,39913.0,5200.0,26035.0,54929.0,50200.0,0.6183,Hendrix College,Conway,0.7824,0.734
30832.0,30832.0,5.0,5.0,32.0,2.0,3.0,1415.0,0.2138,0.3615,16.0,0.6677,0.626146789,0.662870159,21250.0,15735.0,17489.0,16750.0,53907.0,11800.0,36159.0,85072.0,106800.0,46114.0,12300.0,28517.0,73237.0,75000.0,0.5969,John Brown University,Siloam Springs,0.8421,0.7207
32480.0,32480.0,5.0,5.0,32.0,2.0,3.0,1612.0,0.226,0.485,12.0,0.703,0.626062323,0.538709677,21050.0,14750.0,14550.0,15000.0,51673.0,8500.0,34167.0,70232.0,77700.0,41697.0,7700.0,25947.0,57890.0,55300.0,0.6157,Ouachita Baptist University,Arkadelphia,0.827,0.6642
25950.0,25950.0,5.0,5.0,33.0,2.0,3.0,753.0,0.3597,0.4349,13.0,0.5176,0.405405405,0.409090909,20875.0,10900.0,9500.0,13000.0,44384.0,3600.0,32523.0,60124.0,62900.0,37651.0,5900.0,22363.0,49910.0,44700.0,0.4118,University of the Ozarks,Clarksville,0.7289,0.4928
13014.0,13014.0,5.0,5.0,12.0,2.0,3.0,842.0,0.7139,0.6268,12.0,0.3231,0.258426966,0.394904459,24736.0,15000.0,14000.0,15000.0,38427.0,6200.0,19226.0,51858.0,57200.0,25254.0,4600.0,14037.0,39896.0,40800.0,0.1877,Philander Smith University,Little Rock,0.6728,0.3059
20330.0,20330.0,5.0,5.0,42.0,2.0,3.0,490.0,0.4715,0.4733,12.0,0.3592,0.341935484,0.413793103,21820.0,8411.0,10000.0,11500.0,38484.0,8400.0,24778.0,50005.0,61900.0,38067.0,6700.0,26619.0,50165.0,46800.0,0.2624,Williams Baptist University,Walnut Ridge,0.4965,0.3254
9820.0,15400.0,5.0,5.0,33.0,1.0,3.0,2865.0,0.446,0.6668,16.0,0.465,0.392094017,0.421856639,18750.0,14000.0,12013.0,11278.0,42386.0,9800.0,25370.0,61851.0,70600.0,37008.0,7100.0,21462.0,52918.0,56200.0,0.3014,Southern Arkansas University Main Campus,Magnolia,0.6913,0.3864
6906.0,13770.0,5.0,5.0,13.0,1.0,3.0,4133.0,0.3914,0.2817,20.0,0.3696,0.283519553,0.333530106,18250.0,10965.0,10250.0,11000.0,41102.0,6000.0,24344.0,61170.0,62300.0,35925.0,6200.0,22372.0,51417.0,50400.0,0.0265,University of Arkansas-Fort Smith,Fort Smith,0.7163,0.2444
